id_person,Season,classifica,Category,league_nam,team_name,team_id,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
13043,1975,AAA,MiLB,American Association,Indianapolis,1975_AmericanAssociation_Indianapolis,15,0,0,0,0,0,0,0,0,0
13227,1989,AAA,MiLB,American Association,Indianapolis,1989_AmericanAssociation_Indianapolis,0,0,0,0,0,0,110,0,0,0
13288,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,12,0,0,0,0,0,0,0,0,0
13288,1992,AAA,MiLB,American Association,Indianapolis,1992_AmericanAssociation_Indianapolis,35,0,0,0,0,0,0,0,0,0
13423,1999,AAA,MiLB,International,Indianapolis,1999_International_Indianapolis,3,0,0,0,0,0,0,0,0,0
13676,2005,AAA,MiLB,International,Indianapolis,2005_International_Indianapolis,0,0,0,0,0,0,75,0,75,0
13676,2006,AAA,MiLB,International,Indianapolis,2006_International_Indianapolis,0,0,0,0,0,0,24,0,24,0
13676,2008,AAA,MiLB,International,Indianapolis,2008_International_Indianapolis,0,0,0,0,0,0,12,8,4,1
13707,2010,AAA,MiLB,International,Indianapolis,2010_International_Indianapolis,1,0,11,0,0,0,50,12,32,9
13768,1962,AAA,MiLB,American Association,Indianapolis,1962_AmericanAssociation_Indianapolis,0,0,0,0,50,0,0,0,0,0
13768,1963,AAA,MiLB,International,Indianapolis,1963_International_Indianapolis,0,0,0,0,0,103,0,0,0,0
13807,1986,AAA,MiLB,American Association,Indianapolis,1986_AmericanAssociation_Indianapolis,0,0,109,0,1,0,0,0,0,0
13921,1996,AAA,MiLB,American Association,Indianapolis,1996_AmericanAssociation_Indianapolis,0,0,0,0,0,0,1,0,1,0
13966,2012,AAA,MiLB,International,Indianapolis,2012_International_Indianapolis,0,0,0,0,0,0,97,16,76,5
13966,2014,AAA,MiLB,International,Indianapolis,2014_International_Indianapolis,0,0,0,0,0,0,3,2,1,0
14001,1991,AAA,MiLB,American Association,Indianapolis,1991_AmericanAssociation_Indianapolis,18,0,0,0,0,0,0,0,0,0
14077,1995,AAA,MiLB,American Association,Indianapolis,1995_AmericanAssociation_Indianapolis,20,0,0,0,0,0,0,0,0,0
14077,1997,AAA,MiLB,American Association,Indianapolis,1997_AmericanAssociation_Indianapolis,36,0,0,0,0,0,0,0,0,0
