id_person,DoB,PoB_ID,City,State,Country,Region,Group,Lat,Long
152477,1972,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
157926,1991,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
158510,1990,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
160194,1977,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
223507,1995,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
223534,1995,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
224925,1993,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
225114,1994,Anzoategui_VE,Anzoategui,,VE,South America,Latin America and the Caribbean,10.070841,-64.871026
88937,1988,Aquadilla_PR,Aquadilla,,PR,Caribbean,Latin America and the Caribbean,39.78373,-100.445882
20868,1974,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
5841,1993,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
10583,1990,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
18043,1973,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
22655,1992,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
27159,1992,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
40878,1966,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
49753,1981,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
50298,1978,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
54749,1978,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
65425,1989,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
80055,1967,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
85335,1971,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
92323,1993,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
96480,1992,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
108815,1990,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
111906,1987,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
116109,1981,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
118870,1973,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
120248,1973,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
133875,1986,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
156687,1986,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
171376,1969,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
223198,1994,Aragua_Aragua_VE,Aragua,Aragua,VE,South America,Latin America and the Caribbean,10.251293,-67.589083
